"Date","Region","New_Tests","Total_Tests","Positivity","Turn_Around"
2020-03-07,"Unknown",0,0,0,0
2020-03-07,"Vancouver Coastal",133,1459,1.5,38
2020-03-07,"Vancouver Island",20,339,0,29
2020-03-08,"BC",391,4783,1.02,47
2020-03-08,"Fraser",193,2333,1.04,31
2020-03-08,"Interior",57,403,0,72
2020-03-08,"Northern",23,119,0,110
2020-03-08,"Unknown",0,0,0,0
2020-03-08,"Vancouver Coastal",47,1506,4.26,43
2020-03-08,"Vancouver Island",71,410,0,50
2020-03-09,"BC",447,5230,2.91,44
2020-03-09,"Fraser",200,2533,3,43
2020-03-09,"Interior",10,413,0,161
2020-03-09,"Northern",3,122,66.67,72
2020-03-09,"Unknown",0,0,0,0
2020-03-09,"Vancouver Coastal",121,1627,3.31,51
2020-03-09,"Vancouver Island",113,523,0.88,28
2020-03-10,"BC",695,5925,1.73,58
2020-03-10,"Fraser",261,2794,1.53,55
2020-03-10,"Interior",146,559,0,85
2020-03-10,"Northern",3,125,0,120
2020-03-10,"Unknown",2,14,0,96
2020-03-10,"Vancouver Coastal",176,1803,3.98,61
2020-03-10,"Vancouver Island",107,630,0,21
2020-03-11,"BC",1137,7062,1.85,45
2020-03-11,"Fraser",373,3167,0.54,44
2020-03-11,"Interior",90,649,0,81
2020-03-11,"Northern",58,183,1.72,78
2020-03-11,"Unknown",1,15,0,72
2020-03-11,"Vancouver Coastal",386,2189,4.4,43
2020-03-11,"Vancouver Island",229,859,0.44,25
2020-03-12,"BC",1079,8141,1.02,38
2020-03-12,"Fraser",322,3489,1.24,41
2020-03-12,"Interior",183,832,0,70
2020-03-12,"Northern",20,203,0,56
2020-03-12,"Unknown",6,21,0,48
2020-03-12,"Vancouver Coastal",334,2523,1.2,36
2020-03-12,"Vancouver Island",214,1073,1.4,5
2020-03-13,"BC",1448,9589,1.17,33
2020-03-13,"Fraser",491,3980,0.2,40
2020-03-13,"Interior",120,952,0,45
2020-03-13,"Northern",21,224,0,64
2020-03-13,"Unknown",9,30,0,24
2020-03-13,"Vancouver Coastal",583,3106,2.4,34
2020-03-13,"Vancouver Island",224,1297,0.89,8
2020-03-14,"BC",1550,11139,1.48,36
2020-03-14,"Fraser",557,4537,0.72,39
2020-03-14,"Interior",250,1202,0,48
2020-03-14,"Northern",56,280,0,73
2020-03-14,"Unknown",14,44,0,33
2020-03-14,"Vancouver Coastal",494,3600,3.24,31
2020-03-14,"Vancouver Island",179,1476,1.68,8
2020-03-15,"BC",1771,12910,2.03,49
2020-03-15,"Fraser",604,5141,2.15,58
2020-03-15,"Interior",207,1409,1.93,36
2020-03-15,"Northern",35,315,0,97
2020-03-15,"Unknown",34,78,0,59
2020-03-15,"Vancouver Coastal",727,4327,2.2,49
2020-03-15,"Vancouver Island",164,1640,1.83,17
2020-03-16,"BC",3423,16333,1.55,62
2020-03-16,"Fraser",1486,6627,0.87,68
2020-03-16,"Interior",334,1743,0,59
2020-03-16,"Northern",69,384,0,96
2020-03-16,"Unknown",59,137,0,69
2020-03-16,"Vancouver Coastal",1134,5461,2.73,66
2020-03-16,"Vancouver Island",341,1981,2.64,19
2020-03-17,"BC",3023,19356,2.28,49
2020-03-17,"Fraser",1047,7674,3.06,50
2020-03-17,"Interior",332,2075,0,62
2020-03-17,"Northern",179,563,0,86
2020-03-17,"Unknown",36,173,0,56
2020-03-17,"Vancouver Coastal",1053,6514,2.56,51
2020-03-17,"Vancouver Island",376,2357,2.39,17
2020-03-18,"BC",1113,20469,4.76,31
2020-03-18,"Fraser",247,7921,4.05,44
2020-03-18,"Interior",46,2121,0,74
2020-03-18,"Northern",54,617,0,72
2020-03-18,"Unknown",10,183,0,53
2020-03-18,"Vancouver Coastal",504,7018,6.15,30
2020-03-18,"Vancouver Island",252,2609,4.37,2
2020-03-19,"BC",854,21323,6.56,33
2020-03-19,"Fraser",161,8082,12.42,47
2020-03-19,"Interior",14,2135,28.57,106
2020-03-19,"Northern",13,630,0,44
2020-03-19,"Unknown",16,199,0,26
2020-03-19,"Vancouver Coastal",605,7623,4.3,29
2020-03-19,"Vancouver Island",45,2654,6.67,12
2020-03-20,"BC",1524,22847,4.4,45
2020-03-20,"Fraser",446,8528,6.05,51
2020-03-20,"Interior",164,2299,2.44,77
2020-03-20,"Northern",42,672,0,129
2020-03-20,"Unknown",17,216,0,45
2020-03-20,"Vancouver Coastal",568,8191,4.93,33
2020-03-20,"Vancouver Island",287,2941,2.44,28
2020-03-21,"BC",2000,24847,5.4,55
2020-03-21,"Fraser",407,8935,10.81,64
2020-03-21,"Interior",626,2925,1.44,77
2020-03-21,"Northern",37,709,2.7,82
2020-03-21,"Unknown",14,230,0,53
2020-03-21,"Vancouver Coastal",527,8718,8.16,39
2020-03-21,"Vancouver Island",389,3330,2.31,28
2020-03-22,"BC",2052,26899,3.17,55
2020-03-22,"Fraser",773,9708,2.2,66
2020-03-22,"Interior",355,3280,3.1,60
2020-03-22,"Northern",102,811,0,109
2020-03-22,"Unknown",10,240,0,24
2020-03-22,"Vancouver Coastal",525,9243,5.33,42
2020-03-22,"Vancouver Island",287,3617,3.14,27
2020-03-23,"BC",1955,28854,4.45,66
2020-03-23,"Fraser",949,10657,3.37,72
2020-03-23,"Interior",123,3403,4.88,83
2020-03-23,"Northern",79,890,2.53,124
2020-03-23,"Unknown",21,261,0,82
2020-03-23,"Vancouver Coastal",555,9798,5.95,55
2020-03-23,"Vancouver Island",228,3845,5.26,40
2020-03-24,"BC",1894,30748,4.17,40
2020-03-24,"Fraser",635,11292,3.78,52
2020-03-24,"Interior",183,3586,9.29,49
2020-03-24,"Northern",17,907,5.88,92
2020-03-24,"Unknown",7,268,0,21
2020-03-24,"Vancouver Coastal",666,10464,4.5,33
2020-03-24,"Vancouver Island",386,4231,1.55,26
2020-03-25,"BC",2703,33451,3.7,61
2020-03-25,"Fraser",1104,12396,3.26,58
2020-03-25,"Interior",639,4225,1.41,76
2020-03-25,"Northern",137,1044,0.73,74
2020-03-25,"Unknown",23,291,0,77
2020-03-25,"Vancouver Coastal",740,11204,6.89,44
2020-03-25,"Vancouver Island",60,4291,3.33,123
2020-03-26,"BC",2589,36040,3.71,51
2020-03-26,"Fraser",700,13096,6,42
2020-03-26,"Interior",783,5008,2.55,82
2020-03-26,"Northern",157,1201,2.55,85
2020-03-26,"Unknown",9,300,0,40
2020-03-26,"Vancouver Coastal",552,11756,4.35,27
2020-03-26,"Vancouver Island",388,4679,1.29,26
2020-03-27,"BC",2138,38178,3.37,34
2020-03-27,"Fraser",767,13863,4.17,35
2020-03-27,"Interior",365,5373,1.1,47
2020-03-27,"Northern",105,1306,0.95,71
2020-03-27,"Unknown",15,315,0,26
2020-03-27,"Vancouver Coastal",508,12264,6.3,26
2020-03-27,"Vancouver Island",378,5057,0.79,22
2020-03-28,"BC",1788,39966,4.08,35
2020-03-28,"Fraser",506,14369,4.94,37
2020-03-28,"Interior",425,5798,2.35,42
2020-03-28,"Northern",91,1397,2.2,69
2020-03-28,"Unknown",4,319,0,24
2020-03-28,"Vancouver Coastal",448,12712,6.47,24
2020-03-28,"Vancouver Island",314,5371,2.23,25
2020-03-29,"BC",1569,41535,3.06,36
2020-03-29,"Fraser",618,14987,2.75,41
2020-03-29,"Interior",330,6128,2.12,40
2020-03-29,"Northern",59,1456,0,70
2020-03-29,"Unknown",14,333,0,93
2020-03-29,"Vancouver Coastal",329,13041,6.99,22
2020-03-29,"Vancouver Island",219,5590,0.46,23
2020-03-30,"BC",1007,42542,5.96,39
2020-03-30,"Fraser",408,15395,5.39,46
2020-03-30,"Interior",111,6239,5.41,35
2020-03-30,"Northern",46,1502,2.17,91
2020-03-30,"Unknown",3,336,0,48
2020-03-30,"Vancouver Coastal",272,13313,11.03,31
2020-03-30,"Vancouver Island",167,5757,0.6,23
2020-03-31,"BC",999,43541,3.7,42
2020-03-31,"Fraser",521,15916,3.45,45
2020-03-31,"Interior",8,6247,0,129
2020-03-31,"Northern",75,1577,1.33,81
2020-03-31,"Unknown",9,345,0,56
2020-03-31,"Vancouver Coastal",381,13694,4.72,27
2020-03-31,"Vancouver Island",5,5762,0,67
2020-04-01,"BC",1173,44714,4.52,29
2020-04-01,"Fraser",423,16339,5.44,32
2020-04-01,"Interior",220,6467,4.09,29
2020-04-01,"Northern",8,1585,0,93
2020-04-01,"Unknown",8,353,0,30
2020-04-01,"Vancouver Coastal",312,14006,6.41,25
2020-04-01,"Vancouver Island",202,5964,0.5,23
2020-04-02,"BC",1145,45859,5.24,32
2020-04-02,"Fraser",492,16831,5.49,31
2020-04-02,"Interior",14,6481,0,70
2020-04-02,"Northern",113,1698,4.42,82
2020-04-02,"Unknown",10,363,0,38
2020-04-02,"Vancouver Coastal",305,14311,7.54,20
2020-04-02,"Vancouver Island",211,6175,2.37,23
2020-04-03,"BC",1177,47036,3.91,27
2020-04-03,"Fraser",417,17248,4.8,30
2020-04-03,"Interior",216,6697,3.7,26
2020-04-03,"Northern",49,1747,0,71
2020-04-03,"Unknown",9,372,0,21
2020-04-03,"Vancouver Coastal",265,14576,4.91,18
2020-04-03,"Vancouver Island",221,6396,2.26,24
2020-04-04,"BC",1239,48275,3.23,30
2020-04-04,"Fraser",540,17788,3.52,31
2020-04-04,"Interior",167,6864,0,31
2020-04-04,"Northern",59,1806,3.39,75
2020-04-04,"Unknown",14,386,0,31
2020-04-04,"Vancouver Coastal",269,14845,5.95,25
2020-04-04,"Vancouver Island",190,6586,1.58,20
2020-04-05,"BC",752,49027,2.39,28
2020-04-05,"Fraser",209,17997,3.35,28
2020-04-05,"Interior",144,7008,1.39,23
2020-04-05,"Northern",58,1864,1.72,84
2020-04-05,"Unknown",7,393,0,24
2020-04-05,"Vancouver Coastal",172,15017,4.65,19
2020-04-05,"Vancouver Island",162,6748,0,23
2020-04-06,"BC",837,49864,7.77,28
2020-04-06,"Fraser",277,18274,14.08,36
2020-04-06,"Interior",118,7126,0.85,24
2020-04-06,"Northern",59,1923,0,59
2020-04-06,"Unknown",9,402,0,35
2020-04-06,"Vancouver Coastal",227,15244,10.57,17
2020-04-06,"Vancouver Island",147,6895,0,21
2020-04-07,"BC",1084,50948,4.52,30
2020-04-07,"Fraser",400,18674,7,39
2020-04-07,"Interior",172,7298,4.07,25
2020-04-07,"Northern",19,1942,0,43
2020-04-07,"Unknown",11,413,0,35
2020-04-07,"Vancouver Coastal",274,15518,4.38,26
2020-04-07,"Vancouver Island",208,7103,0.96,21
2020-04-08,"BC",1200,52148,4.67,30
2020-04-08,"Fraser",476,19150,7.35,33
2020-04-08,"Interior",179,7477,1.68,24
2020-04-08,"Northern",77,2019,2.6,83
2020-04-08,"Unknown",12,425,0,44
2020-04-08,"Vancouver Coastal",267,15785,4.87,20
2020-04-08,"Vancouver Island",189,7292,1.06,18
2020-04-09,"BC",1178,53326,4.75,29
2020-04-09,"Fraser",444,19594,8.11,34
2020-04-09,"Interior",172,7649,4.07,24
2020-04-09,"Northern",67,2086,2.99,77
2020-04-09,"Unknown",14,439,0,34
2020-04-09,"Vancouver Coastal",293,16078,3.41,19
2020-04-09,"Vancouver Island",188,7480,0.53,18
2020-04-10,"BC",1533,54859,3.65,30
2020-04-10,"Fraser",608,20202,5.76,35
2020-04-10,"Interior",190,7839,2.11,23
2020-04-10,"Northern",101,2187,0.99,63
2020-04-10,"Unknown",18,457,0,76
2020-04-10,"Vancouver Coastal",406,16484,3.69,21
2020-04-10,"Vancouver Island",210,7690,0.48,22
2020-04-11,"BC",938,55797,2.88,27
2020-04-11,"Fraser",390,20592,3.33,32
2020-04-11,"Interior",121,7960,2.48,19
